
/* CONJUNTOS */

set D_start:= 64 470 415 ;

set C:= 710 603 978 1108 1304 1302 895 636 455 220 ;

set D_in:= 10064 10470 10415 ;

set D_end:= 100064 100470 100415 ;

set K:= 1 2 3 ;

set V:= 1 2 3 ;


/* PARAMETROS */

param tmax:=
28800
;

param time_:=
64 710 461
64 603 575
64 978 917
64 1108 1205
64 1304 1612
64 1302 1772
64 895 1244
64 636 768
64 455 670
64 220 324
470 710 432
470 603 546
470 978 719
470 1108 1052
470 1304 1343
470 1302 1332
470 895 917
470 636 465
470 455 189
470 220 544
415 710 722
415 603 482
415 978 704
415 1108 821
415 1304 902
415 1302 918
415 895 476
415 636 349
415 455 670
415 220 903
710 603 250
710 978 593
710 1108 870
710 1304 1295
710 1302 1442
710 895 1013
710 636 443
710 455 224
710 220 220
603 710 240
603 978 402
603 1108 678
603 1304 1108
603 1302 1252
603 895 785
603 636 244
603 455 306
603 220 421
978 710 610
978 603 370
978 1108 502
978 1304 894
978 1302 1024
978 895 604
978 636 307
978 455 745
978 220 791
1108 710 989
1108 603 727
1108 978 460
1108 1304 478
1108 1302 611
1108 895 378
1108 636 664
1108 455 1032
1108 220 1133
1304 710 1404
1304 603 1139
1304 978 864
1304 1108 451
1304 1302 165
1304 895 561
1304 636 1037
1304 455 1398
1304 220 1543
1302 710 1327
1302 603 1063
1302 978 1039
1302 1108 612
1302 1304 160
1302 895 596
1302 636 932
1302 455 1260
1302 220 1466
895 710 941
895 603 690
895 978 604
895 1108 494
895 1304 588
895 1302 654
895 636 558
895 455 904
895 220 1098
636 710 527
636 603 286
636 978 374
636 1108 701
636 1304 1090
636 1302 1128
636 895 679
636 455 615
636 220 708
455 710 243
455 603 334
455 978 678
455 1108 951
455 1304 1379
455 1302 1397
455 895 975
455 636 587
455 220 355
220 710 232
220 603 435
220 978 778
220 1108 1048
220 1304 1469
220 1302 1628
220 895 1190
220 636 628
220 455 340
710 10064 443
710 10470 480
710 10415 788
603 10064 602
603 10470 529
603 10415 589
978 10064 979
978 10470 703
978 10415 721
1108 10064 1339
1108 10470 1095
1108 10415 777
1304 10064 1754
1304 10470 1425
1304 10415 830
1302 10064 1677
1302 10470 1281
1302 10415 688
895 10064 1298
895 10470 901
895 10415 415
636 10064 889
636 10470 524
636 10415 483
455 10064 711
455 10470 255
455 10415 669
220 10064 343
220 10470 596
220 10415 979
10064 100064 0
10470 100470 0
10415 100415 0
;

param dem:=
64 0
470 0
415 0
710 1
603 1
978 1
1108 1
1304 1
1302 1
895 1
636 1
455 1
220 1
10064 0
10470 0
10415 0
100064 0
100470 0
100415 0
;

param cap:=
2
;

param ava_start:=
470 1 1
415 2 1
64 3 1
;

param ava_end:=
100064 1 1
100470 2 1
100415 3 1
;

param com:=
10415 1 1
10064 2 1
10470 3 1
;

