Instance,Run,Hypervolume,ExecutionTime,InitializationTime,PopulationSize,Generations,ActualEvaluations
Instance6.dat,1,0,158,,100,100000,10000000
Instance6.dat,2,0,156,,100,100000,10000000
Instance6.dat,3,0,154,,100,100000,10000000
Instance6.dat,4,0,156,,100,100000,10000000
Instance6.dat,5,0,154,,100,100000,10000000
Instance6.dat,6,0,154,,100,100000,10000000
Instance6.dat,7,0,154,,100,100000,10000000
Instance6.dat,8,,174,,100,100000,10000000
Instance6.dat,9,0,154,,100,100000,10000000
Instance6.dat,10,0,155,,100,100000,10000000
Instance6.dat,11,0,156,,100,100000,10000000
Instance6.dat,12,0,155,,100,100000,10000000
Instance6.dat,13,0,155,,100,100000,10000000
Instance6.dat,14,0,154,,100,100000,10000000
Instance6.dat,15,0,154,,100,100000,10000000
Instance6.dat,16,0,155,,100,100000,10000000
Instance6.dat,17,0,154,,100,100000,10000000
Instance6.dat,18,0,156,,100,100000,10000000
Instance6.dat,19,0,154,,100,100000,10000000
Instance6.dat,20,0,155,,100,100000,10000000
